,Accuracy,Precision,Recall,AUC,G-Mean,False_Alarm_Rate
iris,0.9600000000000002,0.9632996632996633,0.96,0.9946666666666667,,
pima,0.7564977506153976,0.6693817608711226,0.6007686932215234,0.8151691125087351,0.709826444885264,0.16
haberman,0.751560021152829,0.5695238095238095,0.19632352941176473,0.6268790849673203,0.4190337819937436,0.04888888888888889
ecoli,0.4494293239683933,0.19646082133446263,0.1520935960591133,0.0,,
glass,0.4292358803986711,0.46830311797703106,0.49962301587301583,0.8033525102556034,,
