,Accuracy,Precision,Recall,AUC,G-Mean,False_Alarm_Rate
1,0.720534883385403,0.5548981536078326,0.5359225960896902,0.5952016668125968,0.5619146755844038,0.21255555555555555
3,0.7243161027137043,0.56438571144472,0.5229037032202456,0.64536099166696,0.5783102906179771,0.17433333333333334
5,0.7243985025045614,0.5605299670822257,0.5044080228039312,0.6514697073217478,0.5666087038118084,0.1592222222222222
7,0.7225675430612988,0.5468134050069429,0.47756286169495626,0.658276572530809,0.5105111366536184,0.14166666666666666
9,0.7312766953603537,0.5693740061236107,0.4821512513286237,0.6617157618792413,0.5243512780981988,0.11644444444444445
11,0.7344144718813823,0.588547161405562,0.4947389896734375,0.6639429258350227,0.5650272028655745,0.111
